year,teamName,wins,losses,win_rate
2008,SD,63,99,0.3889
2009,NYY,103,59,0.6358
2009,BOS,95,67,0.5864
2009,TB,84,78,0.5185
2009,TOR,75,87,0.463
2009,BAL,64,98,0.3951
2009,MIN,87,76,0.5337
2009,DET,86,77,0.5276
2009,CWS,79,83,0.4877
2009,CLE,65,97,0.4012
2009,KC,65,97,0.4012
2009,LAA,97,65,0.5988
2009,TEX,87,75,0.537
2009,SEA,85,77,0.5247
2009,OAK,75,87,0.463
2009,PHI,93,69,0.5741
2009,MIA,87,75,0.537
2009,ATL,86,76,0.5309
2009,NYM,70,92,0.4321
2009,WSH,59,103,0.3642
2009,STL,91,71,0.5617
2009,CHC,83,78,0.5155
2009,MIL,80,82,0.4938
2009,CIN,78,84,0.4815
2009,HOU,74,88,0.4568
2009,PIT,62,99,0.3851
2009,LAD,95,67,0.5864
2009,COL,92,70,0.5679
2009,SF,88,74,0.5432
2009,SD,75,87,0.463
2009,AZ,70,92,0.4321
2010,TB,96,66,0.5926
2010,NYY,95,67,0.5864
2010,BOS,89,73,0.5494
2010,TOR,85,77,0.5247
2010,BAL,66,96,0.4074
2010,MIN,94,68,0.5802
2010,CWS,88,74,0.5432
2010,DET,81,81,0.5
2010,CLE,69,93,0.4259
2010,KC,67,95,0.4136
2010,TEX,90,72,0.5556
2010,OAK,81,81,0.5
2010,LAA,80,82,0.4938
2010,SEA,61,101,0.3765
2010,PHI,97,65,0.5988
2010,ATL,91,71,0.5617
2010,MIA,80,82,0.4938
2010,NYM,79,83,0.4877
2010,WSH,69,93,0.4259
2010,CIN,91,71,0.5617
2010,STL,86,76,0.5309
2010,MIL,77,85,0.4753
2010,HOU,76,86,0.4691
2010,CHC,75,87,0.463
2010,PIT,57,105,0.3519
2010,SF,92,70,0.5679
2010,SD,90,72,0.5556
2010,COL,83,79,0.5123
2010,LAD,80,82,0.4938
2010,AZ,65,97,0.4012
2011,NYY,97,65,0.5988
2011,TB,91,71,0.5617
2011,BOS,90,72,0.5556
2011,TOR,81,81,0.5
2011,BAL,69,93,0.4259
2011,DET,95,67,0.5864
2011,CLE,80,82,0.4938
2011,CWS,79,83,0.4877
2011,KC,71,91,0.4383
2011,MIN,63,99,0.3889
2011,TEX,96,66,0.5926
2011,LAA,86,76,0.5309
2011,OAK,74,88,0.4568
2011,SEA,67,95,0.4136
2011,PHI,102,60,0.6296
2011,ATL,89,73,0.5494
2011,WSH,80,81,0.4969
2011,NYM,77,85,0.4753
2011,MIA,72,90,0.4444
2011,MIL,96,66,0.5926
2011,STL,90,72,0.5556
2011,CIN,79,83,0.4877
2011,PIT,72,90,0.4444
2011,CHC,71,91,0.4383
2011,HOU,56,106,0.3457
2011,AZ,94,68,0.5802
2011,SF,86,76,0.5309
2011,LAD,82,79,0.5093
2011,COL,73,89,0.4506
2011,SD,71,91,0.4383
2012,NYY,95,67,0.5864
2012,BAL,93,69,0.5741
2012,TB,90,72,0.5556
2012,TOR,73,89,0.4506
2012,BOS,69,93,0.4259
2012,DET,88,74,0.5432
2012,CWS,85,77,0.5247
2012,KC,72,90,0.4444
2012,CLE,68,94,0.4198
2012,MIN,66,96,0.4074
2012,OAK,94,68,0.5802
2012,TEX,93,69,0.5741
2012,LAA,89,73,0.5494
2012,SEA,75,87,0.463
2012,WSH,98,64,0.6049
2012,ATL,94,68,0.5802
2012,PHI,81,81,0.5
2012,NYM,74,88,0.4568
2012,MIA,69,93,0.4259
2012,CIN,97,65,0.5988
2012,STL,88,74,0.5432
2012,MIL,83,79,0.5123
2012,PIT,79,83,0.4877
2012,CHC,61,101,0.3765
2012,HOU,55,107,0.3395
2012,SF,94,68,0.5802
2012,LAD,86,76,0.5309
2012,AZ,81,81,0.5
2012,SD,76,86,0.4691
2012,COL,64,98,0.3951
2013,BOS,97,65,0.5988
2013,TB,92,71,0.5644
2013,BAL,85,77,0.5247
2013,NYY,85,77,0.5247
2013,TOR,74,88,0.4568
2013,DET,93,69,0.5741
2013,CLE,92,70,0.5679
2013,KC,86,76,0.5309
2013,MIN,66,96,0.4074
2013,CWS,63,99,0.3889
2013,OAK,96,66,0.5926
2013,TEX,91,72,0.5583
2013,LAA,78,84,0.4815
2013,SEA,71,91,0.4383
2013,HOU,51,111,0.3148
2013,ATL,96,66,0.5926
2013,WSH,86,76,0.5309
2013,NYM,74,88,0.4568
2013,PHI,73,89,0.4506
2013,MIA,62,100,0.3827
2013,STL,97,65,0.5988
2013,PIT,94,68,0.5802
2013,CIN,90,72,0.5556
2013,MIL,74,88,0.4568
2013,CHC,66,96,0.4074
2013,LAD,92,70,0.5679
2013,AZ,81,81,0.5
2013,SF,76,86,0.4691
2013,SD,76,86,0.4691
2013,COL,74,88,0.4568
2014,BAL,96,66,0.5926
2014,NYY,84,78,0.5185
2014,TOR,83,79,0.5123
2014,TB,77,85,0.4753
2014,BOS,71,91,0.4383
2014,DET,90,72,0.5556
2014,KC,89,73,0.5494
2014,CLE,85,77,0.5247
2014,CWS,73,89,0.4506
2014,MIN,70,92,0.4321
2014,LAA,98,64,0.6049
2014,OAK,88,74,0.5432
2014,SEA,87,75,0.537
2014,HOU,70,92,0.4321
2014,TEX,67,95,0.4136
2014,WSH,96,66,0.5926
2014,ATL,79,83,0.4877
2014,NYM,79,83,0.4877
2014,MIA,77,85,0.4753
2014,PHI,73,89,0.4506
2014,STL,90,72,0.5556
2014,PIT,88,74,0.5432
2014,MIL,82,80,0.5062
2014,CIN,76,86,0.4691
2014,CHC,73,89,0.4506
2014,LAD,94,68,0.5802
2014,SF,88,74,0.5432
2014,SD,77,85,0.4753
2014,COL,66,96,0.4074
2014,AZ,64,98,0.3951
2015,TOR,93,69,0.5741
2015,NYY,87,75,0.537
2015,BAL,81,81,0.5
2015,TB,80,82,0.4938
2015,BOS,78,84,0.4815
2015,KC,95,67,0.5864
2015,MIN,83,79,0.5123
2015,CLE,81,80,0.5031
2015,CWS,76,86,0.4691
2015,DET,74,87,0.4596
2015,TEX,88,74,0.5432
2015,HOU,86,76,0.5309
2015,LAA,85,77,0.5247
2015,SEA,76,86,0.4691
2015,OAK,68,94,0.4198
2015,NYM,90,72,0.5556
2015,WSH,83,79,0.5123
2015,MIA,71,91,0.4383
2015,ATL,67,95,0.4136
2015,PHI,63,99,0.3889
2015,STL,100,62,0.6173
2015,PIT,98,64,0.6049
2015,CHC,97,65,0.5988
2015,MIL,68,94,0.4198
2015,CIN,64,98,0.3951
2015,LAD,92,70,0.5679
2015,SF,84,78,0.5185
2015,AZ,79,83,0.4877
2015,SD,74,88,0.4568
2015,COL,68,94,0.4198
2016,BOS,93,69,0.5741
2016,TOR,89,73,0.5494
2016,BAL,89,73,0.5494
2016,NYY,84,78,0.5185
2016,TB,68,94,0.4198
2016,CLE,94,67,0.5839
2016,DET,86,75,0.5342
2016,KC,81,81,0.5
2016,CWS,78,84,0.4815
2016,MIN,59,103,0.3642
2016,TEX,95,67,0.5864
2016,SEA,86,76,0.5309
2016,HOU,84,78,0.5185
2016,LAA,74,88,0.4568
2016,OAK,69,93,0.4259
2016,WSH,95,67,0.5864
2016,NYM,87,75,0.537
2016,MIA,79,82,0.4907
2016,PHI,71,91,0.4383
2016,ATL,68,93,0.4224
2016,CHC,103,58,0.6398
2016,STL,86,76,0.5309
2016,PIT,78,83,0.4845
2016,MIL,73,89,0.4506
2016,CIN,68,94,0.4198
2016,LAD,91,71,0.5617
2016,SF,87,75,0.537
2016,COL,75,87,0.463
2016,AZ,69,93,0.4259
2016,SD,68,94,0.4198
2017,BOS,93,69,0.5741
2017,NYY,91,71,0.5617
2017,TB,80,82,0.4938
2017,TOR,76,86,0.4691
2017,BAL,75,87,0.463
2017,CLE,102,60,0.6296
2017,MIN,85,77,0.5247
2017,KC,80,82,0.4938
2017,CWS,67,95,0.4136
2017,DET,64,98,0.3951
2017,HOU,101,61,0.6235
2017,LAA,80,82,0.4938
2017,SEA,78,84,0.4815
2017,TEX,78,84,0.4815
2017,OAK,75,87,0.463
2017,WSH,97,65,0.5988
2017,MIA,77,85,0.4753
2017,ATL,72,90,0.4444
2017,NYM,70,92,0.4321
2017,PHI,66,96,0.4074
2017,CHC,92,70,0.5679
2017,MIL,86,76,0.5309
2017,STL,83,79,0.5123
2017,PIT,75,87,0.463
2017,CIN,68,94,0.4198
2017,LAD,104,58,0.642
2017,AZ,93,69,0.5741
2017,COL,87,75,0.537
2017,SD,71,91,0.4383
2017,SF,64,98,0.3951
2018,BOS,108,54,0.6667
2018,NYY,100,62,0.6173
2018,TB,90,72,0.5556
2018,TOR,73,89,0.4506
2018,BAL,47,115,0.2901
2018,CLE,91,71,0.5617
2018,MIN,78,84,0.4815
2018,DET,64,98,0.3951
2018,CWS,62,100,0.3827
2018,KC,58,104,0.358
2018,HOU,103,59,0.6358
2018,OAK,97,65,0.5988
2018,SEA,89,73,0.5494
2018,LAA,80,82,0.4938
2018,TEX,67,95,0.4136
2018,ATL,90,72,0.5556
2018,WSH,82,80,0.5062
2018,PHI,80,82,0.4938
2018,NYM,77,85,0.4753
2018,MIA,63,98,0.3913
2018,MIL,96,67,0.589
2018,CHC,95,68,0.5828
2018,STL,88,74,0.5432
2018,PIT,82,79,0.5093
2018,CIN,67,95,0.4136
2018,LAD,92,71,0.5644
2018,COL,91,72,0.5583
2018,AZ,82,80,0.5062
2018,SF,73,89,0.4506
2018,SD,66,96,0.4074
2019,NYY,103,59,0.6358
2019,TB,96,66,0.5926
2019,BOS,84,78,0.5185
2019,TOR,67,95,0.4136
2019,BAL,54,108,0.3333
2019,MIN,101,61,0.6235
2019,CLE,93,69,0.5741
2019,CWS,72,89,0.4472
2019,KC,59,103,0.3642
2019,DET,47,114,0.2919
2019,HOU,107,55,0.6605
2019,OAK,97,65,0.5988
2019,TEX,78,84,0.4815
2019,LAA,72,90,0.4444
2019,SEA,68,94,0.4198
2019,ATL,97,65,0.5988
2019,WSH,93,69,0.5741
2019,NYM,86,76,0.5309
2019,PHI,81,81,0.5
2019,MIA,57,105,0.3519
2019,STL,91,71,0.5617
2019,MIL,89,73,0.5494
2019,CHC,84,78,0.5185
2019,CIN,75,87,0.463
2019,PIT,69,93,0.4259
2019,LAD,106,56,0.6543
2019,AZ,85,77,0.5247
2019,SF,77,85,0.4753
2019,COL,71,91,0.4383
2019,SD,70,92,0.4321
2020,TB,40,20,0.6667
2020,NYY,33,27,0.55
2020,TOR,32,28,0.5333
2020,BAL,25,35,0.4167
2020,BOS,24,36,0.4
2020,MIN,36,24,0.6
2020,CLE,35,25,0.5833
2020,CWS,35,25,0.5833
2020,KC,26,34,0.4333
2020,DET,23,35,0.3966
2020,OAK,36,24,0.6
2020,HOU,29,31,0.4833
2020,SEA,27,33,0.45
2020,LAA,26,34,0.4333
2020,TEX,22,38,0.3667
2020,ATL,35,25,0.5833
2020,MIA,31,29,0.5167
2020,PHI,28,32,0.4667
2020,NYM,26,34,0.4333
2020,WSH,26,34,0.4333
2020,CHC,34,26,0.5667
2020,STL,30,28,0.5172
2020,CIN,31,29,0.5167
2020,MIL,29,31,0.4833
2020,PIT,19,41,0.3167
2020,LAD,43,17,0.7167
2020,SD,37,23,0.6167
2020,SF,29,31,0.4833
2020,COL,26,34,0.4333
2020,AZ,25,35,0.4167
2021,TB,100,62,0.6173
2021,BOS,92,70,0.5679
2021,NYY,92,70,0.5679
2021,TOR,91,71,0.5617
2021,BAL,52,110,0.321
2021,CWS,93,69,0.5741
2021,CLE,80,82,0.4938
2021,DET,77,85,0.4753
2021,KC,74,88,0.4568
2021,MIN,73,89,0.4506
2021,HOU,95,67,0.5864
2021,SEA,90,72,0.5556
2021,OAK,86,76,0.5309
2021,LAA,77,85,0.4753
2021,TEX,60,102,0.3704
2021,ATL,88,73,0.5466
2021,PHI,82,80,0.5062
2021,NYM,77,85,0.4753
2021,MIA,67,95,0.4136
2021,WSH,65,97,0.4012
2021,MIL,95,67,0.5864
2021,STL,90,72,0.5556
2021,CIN,83,79,0.5123
2021,CHC,71,91,0.4383
2021,PIT,61,101,0.3765
2021,SF,107,55,0.6605
2021,LAD,106,56,0.6543
2021,SD,79,83,0.4877
2021,COL,74,87,0.4596
2021,AZ,52,110,0.321
2022,NYY,99,63,0.6111
2022,TOR,92,70,0.5679
2022,TB,86,76,0.5309
2022,BAL,83,79,0.5123
2022,BOS,78,84,0.4815
2022,CLE,92,70,0.5679
2022,CWS,81,81,0.5
2022,MIN,78,84,0.4815
2022,DET,66,96,0.4074
2022,KC,65,97,0.4012
2022,HOU,106,56,0.6543
2022,SEA,90,72,0.5556
2022,LAA,73,89,0.4506
2022,TEX,68,94,0.4198
2022,OAK,60,102,0.3704
2022,ATL,101,61,0.6235
2022,NYM,101,61,0.6235
2022,PHI,87,75,0.537
2022,MIA,69,93,0.4259
2022,WSH,55,107,0.3395
2022,STL,93,69,0.5741
2022,MIL,86,76,0.5309
2022,CHC,74,88,0.4568
2022,PIT,62,100,0.3827
2022,CIN,62,100,0.3827
2022,LAD,111,51,0.6852
2022,SD,89,73,0.5494
2022,SF,81,81,0.5
2022,AZ,74,88,0.4568
2022,COL,68,94,0.4198
2023,BAL,101,61,0.6235
2023,TB,99,63,0.6111
2023,TOR,89,73,0.5494
2023,NYY,82,80,0.5062
2023,BOS,78,84,0.4815
2023,MIN,87,75,0.537
2023,DET,78,84,0.4815
2023,CLE,76,86,0.4691
2023,CWS,61,101,0.3765
2023,KC,56,106,0.3457
2023,HOU,90,72,0.5556
2023,TEX,90,72,0.5556
2023,SEA,88,74,0.5432
2023,LAA,73,89,0.4506
2023,OAK,50,112,0.3086
2023,ATL,104,58,0.642
2023,PHI,90,72,0.5556
2023,MIA,84,78,0.5185
2023,NYM,75,87,0.463
2023,WSH,71,91,0.4383
2023,MIL,92,70,0.5679
2023,CHC,83,79,0.5123
2023,CIN,82,80,0.5062
2023,PIT,76,86,0.4691
2023,STL,71,91,0.4383
2023,LAD,100,62,0.6173
2023,AZ,84,78,0.5185
2023,SD,82,80,0.5062
2023,SF,79,83,0.4877
2023,COL,59,103,0.3642
2024,NYY,94,68,0.5802
2024,BAL,91,71,0.5617
2024,BOS,81,81,0.5
2024,TB,80,82,0.4938
2024,TOR,74,88,0.4568
2024,CLE,92,69,0.5714
2024,KC,86,76,0.5309
2024,DET,86,76,0.5309
2024,MIN,82,80,0.5062
2024,CWS,41,121,0.2531
2024,HOU,88,73,0.5466
2024,SEA,85,77,0.5247
2024,TEX,78,84,0.4815
2024,OAK,69,93,0.4259
2024,LAA,63,99,0.3889
2024,PHI,95,67,0.5864
2024,ATL,89,73,0.5494
2024,NYM,89,73,0.5494
2024,WSH,71,91,0.4383
2024,MIA,62,100,0.3827
2024,MIL,93,69,0.5741
2024,STL,83,79,0.5123
2024,CHC,83,79,0.5123
2024,CIN,77,85,0.4753
2024,PIT,76,86,0.4691
2024,LAD,98,64,0.6049
2024,SD,93,69,0.5741
2024,AZ,89,73,0.5494
2024,SF,80,82,0.4938
2024,COL,61,101,0.3765
2025,TOR,94,68,0.5802
2025,NYY,94,68,0.5802
2025,BOS,89,73,0.5494
2025,TB,77,85,0.4753
2025,BAL,75,87,0.463
2025,CLE,88,74,0.5432
2025,DET,87,75,0.537
2025,KC,82,80,0.5062
2025,MIN,70,92,0.4321
2025,CWS,60,102,0.3704
2025,SEA,90,72,0.5556
2025,HOU,87,75,0.537
2025,TEX,81,81,0.5
2025,OAK,76,86,0.4691
2025,LAA,72,90,0.4444
2025,PHI,96,66,0.5926
2025,NYM,83,79,0.5123
2025,MIA,79,83,0.4877
2025,ATL,76,86,0.4691
2025,WSH,66,96,0.4074
2025,MIL,97,65,0.5988
2025,CHC,92,70,0.5679
2025,CIN,83,79,0.5123
2025,STL,78,84,0.4815
2025,PIT,71,91,0.4383
2025,LAD,93,69,0.5741
2025,SD,90,72,0.5556
2025,SF,81,81,0.5
2025,AZ,80,82,0.4938
2025,COL,43,119,0.2654
